,tampering_type,tampering_percentage,method,accuracy,precision,recall,AUC_all,AUC_R,AUC_G
0,K,10,IsolationForest,0.4173469005870376,0.42352853622435743,0.07809139889924692,,,
1,K,10,LOF,0.45519125074535927,0.6018611572516692,0.11234569518952309,,,
2,K,10,OCSVM,0.4602396745370647,0.5660433607004562,0.19710725160221612,,,
3,K,10,TDA,0.6243075470426729,0.8294850716490687,0.41724361278914124,0.6873639427863475,0.9321992944795976,0.6873639427863475
4,K,20,IsolationForest,0.4095040471564549,0.46423475990391144,0.08779681856378944,,,
5,K,20,LOF,0.4369725068554414,0.5956513380999825,0.10912413876505547,,,
6,K,20,OCSVM,0.4589942905401805,0.5712596063228775,0.2212572685960238,,,
7,K,20,TDA,0.6086491167369328,0.8622752111851161,0.3984473974228358,0.7398224873132435,0.9105349938880283,0.7398224873132435
8,K,30,IsolationForest,0.4068866642136902,0.5425270885575876,0.09649459024898449,,,
9,K,30,LOF,0.4227039205605367,0.6179004550311228,0.10790834907407035,,,
10,K,30,OCSVM,0.4447369473006307,0.6097345742852461,0.22243529894333705,,,
11,K,30,TDA,0.6412360222983797,0.8849716259594409,0.45237235528625913,0.6775041226974987,0.8739950201954454,0.6775041226974987
12,K,40,IsolationForest,0.37700555965265287,0.5296337843474376,0.0883849885537638,,,
13,K,40,LOF,0.3910280881859169,0.5958713722043713,0.09910622234866913,,,
14,K,40,OCSVM,0.4303578994659625,0.6315537393582736,0.21064756233756174,,,
15,K,40,TDA,0.6149800873457374,0.8615545725491615,0.41232647955370433,0.6861943523243961,0.8682533503678518,0.6861943523243961
16,K,50,IsolationForest,0.37926263238805463,0.5498611722919664,0.0901483895029444,,,
17,K,50,LOF,0.3935892681139601,0.6170714074757783,0.10128818293820652,,,
18,K,50,OCSVM,0.4123953161038701,0.6193196061847732,0.1825946637089651,,,
19,K,50,TDA,0.6220106814070645,0.8335245945122793,0.4271818014751079,0.729309973139857,0.846754442854412,0.729309973139857
20,K,60,IsolationForest,0.3678942713443861,0.5897042235134298,0.09829512412321488,,,
