,tampering_type,tampering_percentage,method,accuracy,precision,recall,AUC_all,AUC_R,AUC_G
0,N,10,IsolationForest,0.36273400853777965,0.12579635823071972,0.022687495983335425,,,
1,N,10,LOF,0.34877708071678076,0.06067197134384217,0.010897498637762645,,,
2,N,10,OCSVM,0.417129065781908,0.3751727975083112,0.19603183770111315,,,
3,N,10,TDA,0.7691658937360831,0.8403859837535229,0.7331561063218498,0.8200952882982057,0.9364256446674298,0.8200952882982057
4,N,50,IsolationForest,0.3120620429921611,0.22085102860746966,0.036319968718936314,,,
5,N,50,LOF,0.2841177689333028,0.0890101317770209,0.014299040166944669,,,
6,N,50,OCSVM,0.3539983596226808,0.40730252672416184,0.1326639899486863,,,
7,N,50,TDA,0.7696090117120411,0.8831391008395701,0.7280194492979839,0.7965442887874481,0.8756862601786687,0.7965442887874481
8,N,90,IsolationForest,0.2714538756383356,0.2590764449768535,0.04038849981311283,,,
9,N,90,LOF,0.24165283610152696,0.1144014319342625,0.017618125607729546,,,
10,N,90,OCSVM,0.3308298178857983,0.517521575325037,0.13569075865808816,,,
11,N,90,TDA,0.7452480981123042,0.887317272977335,0.7099608745405481,0.7905190495454967,0.8368434735101667,0.7905190495454967
